epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,12.9024,0.66907,0.69837,1,0.57568,0.000992424,0.000330808,0.000992424,0.000330808,0.0679116,0.06725,0.000992424,0.000330808
2,23.5461,0.47612,0.87484,1,0.33883,0.00186092,0.000620308,0.00186092,0.000620308,0.0354468,0.0342062,0.00186092,0.000620308
3,33.992,0.23444,0.9199,1,0.21341,0.00259742,0.000865808,0.00259742,0.000865808,0.00284995,0.00111833,0.00259742,0.000865808
4,44.4246,0.12068,0.92365,1,0.1656,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802
5,54.8301,0.06067,0.92365,1,0.19703,0.002208,0.000736,0.002208,0.000736,0.002208,0.000736,0.002208,0.000736
6,66.2785,0.02952,0.93992,1,0.18731,0.00201,0.00067,0.00201,0.00067,0.00201,0.00067,0.00201,0.00067
7,76.7005,0.01815,0.93617,1,0.20125,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604
8,87.2289,0.01375,0.93867,1,0.21362,0.001614,0.000538,0.001614,0.000538,0.001614,0.000538,0.001614,0.000538
9,97.7316,0.00978,0.93617,1,0.22038,0.001416,0.000472,0.001416,0.000472,0.001416,0.000472,0.001416,0.000472
10,108.185,0.00694,0.93367,1,0.20761,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406
11,118.683,0.00474,0.93617,1,0.21829,0.00102,0.00034,0.00102,0.00034,0.00102,0.00034,0.00102,0.00034
